Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
251,Marian,Gaborik,OTT,LW/RW,-89,52,9,12,-10,115,5,19
252,Nikita,Scherbak,MTL,RW,-90,53,9,12,0,80,5,37
253,Maxim,Mamin,FLA,C/RW,-90,58,8,11,0,58,0,103
254,David,Kampf,CHI,C/RW,-90,72,11,18,0,72,0,45
255,Phillip,Di Giuseppe,CAR,LW,-90,50,5,6,0,79,0,116
256,Lawson,Crouse,ARI,LW,-92,48,5,11,0,56,0,109
257,Matthew,Nieto,COL,LW,-92,70,11,12,10,91,0,35
258,Gabriel,Bourque,COL,LW/RW,-92,62,5,8,0,54,0,121
259,Dale,Weise,PHI,LW/RW,-93,55,6,5,0,83,0,103
260,Pontus,Aberg,EDM,RW,-93,70,11,16,0,83,0,34
261,Tyler,Ennis,TOR,LW/RW,-93,62,8,11,0,110,0,43
262,Miikka,Salomaki,NSH,LW/RW,-93,51,5,9,0,47,0,120
263,Tyler,Motte,VAN,LW/RW,-94,58,6,8,0,81,0,88
264,Riley,Barber,WSH,RW,-94,60,9,8,0,75,0,81
265,Tom,Pyatt,OTT,LW/RW,-94,79,8,14,-10,96,0,50
266,Tomas,Nosek,VGK,LW/RW,-94,64,8,12,0,87,0,53
267,Curtis,Lazar,CGY,C/RW,-94,62,4,9,0,59,0,110
268,William,Carrier,VGK,LW/RW,-94,45,2,6,0,59,0,130
269,Oscar,Lindberg,VGK,LW/RW,-96,61,7,8,0,87,0,70
270,Laurent,Dauphin,ARI,C/LW,-97,60,5,12,0,73,0,68
271,JT,Brown,MIN,RW,-97,63,3,7,0,82,0,92
272,Tom,Kuhnhackl,NYI,LW,-97,62,3,6,0,60,0,113
273,Markus,Granlund,VAN,C/LW,-97,61,10,8,0,98,0,40
274,Nic,Dowd,WSH,RW,-99,57,4,7,0,56,0,101
275,Marcus,Sorensen,SJS,LW/RW,-99,61,10,11,0,63,0,49
276,Matthew,Highmore,CHI,LW/RW,-99,45,8,10,0,94,0,34
277,Daniel,Carr,VGK,RW,-101,51,8,12,0,73,0,40
278,Eeli,Tolvanen,NSH,RW,-102,55,14,9,0,55,0,37
279,Jordan,Nolan,STL,C/LW,-103,56,3,6,0,47,0,100
280,Joshua,Ho-Sang,NYI,RW,-103,38,2,20,0,35,6,6
281,Chandler,Stephenson,WSH,LW,-103,74,6,17,10,38,0,32
282,Gemel,Smith,DAL,C/LW,-104,65,9,10,0,63,0,40
283,Justin,Bailey,BUF,LW/RW,-104,33,2,8,-10,49,0,100
284,Nikita,Soshnikov,STL,RW,-105,43,1,7,0,63,0,83
285,Eric,Fehr,MIN,C/RW,-105,51,6,5,0,65,0,67
286,Darren,Archibald,VAN,RW,-106,32,4,6,0,35,0,97
287,Dennis,Everberg,WPG,RW,-108,52,6,7,0,50,0,62
288,Nate,Thompson,LAK,C/LW,-108,53,2,7,0,40,0,84
289,Nic,Petan,WPG,C/RW,-109,63,9,10,0,65,0,16
290,Andrew,Sturtz,OTT,RW,-109,35,7,5,0,58,0,53
291,Michael,McCarron,MTL,C/RW,-109,34,1,5,0,43,0,91
292,Andy,Andreoff,TBL,LW,-110,46,3,6,0,43,0,75
293,Jori,Lehtera,PHI,C/LW,-111,63,5,8,-10,60,0,49
294,Cody,McLeod,NYR,LW,-113,37,1,2,0,27,0,102
295,Brian,Gibbons,ANA,LW/RW,-113,46,6,8,0,56,0,27
296,Barclay,Goodrow,SJS,C/RW,-113,38,5,8,0,39,0,47
297,Marko,Dano,WPG,LW/RW,-113,35,4,4,0,44,0,63
298,Nicholas,Baptiste,BUF,RW,-114,45,4,8,0,59,0,31
299,Anders,Bjork,BOS,LW,-114,34,6,12,0,34,0,24
300,Taylor,Leier,PHI,LW,-116,57,4,8,0,60,0,19
301,Markus,Hannikainen,CBJ,RW,-118,40,4,5,0,36,0,46
302,Zac,Rinaldo,NSH,LW/RW,-119,25,1,2,0,21,0,82
303,Andrew,Mangiapane,CGY,LW,-119,40,6,7,0,28,0,32
304,Ross,Johnston,NYI,LW,-120,29,3,4,0,22,0,61
305,Rudolfs,Balcers,SJS,LW,-120,23,5,6,0,42,0,23
306,Hunter,Shinkaruk,MTL,C/LW,-121,35,5,4,0,42,0,28
307,Kevin,Roy,ANA,LW/RW,-122,35,6,6,0,36,0,15
308,Curtis,Mckenzie,VGK,LW,-123,23,3,4,0,29,0,42
309,Lukas,Radil,SJS,LW,-124,25,4,5,0,33,0,25
310,Kailer,Yamamoto,EDM,RW,-124,15,1,4,10,38,1,15
311,Brendan,Gaunce,VAN,C/LW,-124,26,3,2,0,32,0,40
312,Josh,Jooris,TOR,C/RW,-125,28,3,3,0,38,0,30
313,Micheal,Haley,FLA,LW,-125,30,0,5,-10,21,0,59
314,Troy,Terry,ANA,RW,-127,25,3,5,0,38,0,13
315,Josh,Leivo,TOR,LW/RW,-128,19,3,6,0,34,0,6
316,Cory,Conacher,TBL,RW,-128,23,5,3,0,30,0,16
317,Mathieu,Joseph,TBL,RW,-128,24,2,5,0,17,0,31
318,Max,McCormick,OTT,LW,-128,18,1,3,0,24,0,36
319,Paul,Carey,OTT,LW/RW,-128,25,2,4,0,23,0,28
320,A.J.,Greer,COL,LW/RW,-129,20,2,4,0,17,0,31
321,Kalle,Kossila,ANA,C/LW,-130,24,2,5,0,22,0,18
322,Warren,Foegele,CAR,LW,-130,12,3,2,0,36,0,12
323,Shane,Gersich,WSH,C/LW,-131,20,2,4,0,27,0,14
324,Jimmy,Hayes,PIT,RW,-131,17,1,3,0,24,0,26
325,Evgeny,Svechnikov,DET,RW,-131,19,2,5,0,23,0,13
326,Filip,Zadina,DET,LW,-131,9,3,2,0,25,1.5,7
327,Victor,Ejdsell,CHI,C/LW,-131,18,2,2,0,21,1,18
328,Nicolas,Aube-Kubel,PHI,RW,-132,16,2,4,0,17,0,20
329,Jordan,Schroeder,CHI,C/RW,-132,24,3,2,0,25,0,17
330,Nick,Merkley,ARI,RW,-132,17,2,5,0,17,0,13
331,John,Quenneville,NJD,C/LW,-133,13,0,3,0,24,0,18
332,Sammy,Blais,STL,LW,-134,14,1,4,0,11,0,17
333,Andreas,Martinsen,CHI,LW/RW,-136,10,1,0,0,11,0,29
334,Matt,Read,MIN,LW/RW,-137,12,1,1,0,17,0,15
335,Chris,Thorburn,STL,RW,-137,15,0,1,0,11,0,26
336,Nicolas,Kerdiles,WPG,LW,-138,14,1,2,0,0,0,21
337,Henrik,Haapala,FLA,LW/RW,-139,10,0,3,0,6,0,10
